GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring Integration Core,org.bremersee.spring.core,OrderedProxy,3,45,3,7,1,11,4,4,1,2
Spring Integration Core,org.bremersee.spring.core.convert.support,LocaleToStringConverter,20,6,6,0,4,2,5,2,2,2
Spring Integration Core,org.bremersee.spring.core.convert.support,TimeZoneToStringConverter,20,6,6,0,4,2,5,2,2,2
Spring Integration Core,org.bremersee.spring.core.convert.support,StringToTimeZoneConverter,20,6,6,0,4,2,5,2,2,2
